,Technology,Country,Capacity TYNDP,Capacity ERAA
481,Hydro - Pump Storage Open Loop (Pumping),DK,,0.0
482,Hydro - Pump Storage Open Loop (Turbine),DK,,0.0
483,Hydro - Reservoir (Energy),DK,,0.0
484,Hydro - Reservoir (Turbine),DK,,0.0
485,Hydro - Run of River (Turbine),DK,,0.0
486,Hydro - Pondage (Energy),EE,,0.0
487,Hydro - Pondage (Turbine),EE,,0.0
488,Hydro - Pump Storage Closed Loop (Energy),EE,,0.0
489,Hydro - Pump Storage Closed Loop (Pumping),EE,,0.0
490,Hydro - Pump Storage Closed Loop (Turbine),EE,,0.0
491,Hydro - Pump Storage Open Loop (Energy),EE,,0.0
492,Hydro - Pump Storage Open Loop (Pumping),EE,,0.0
493,Hydro - Pump Storage Open Loop (Turbine),EE,,0.0
494,Hydro - Reservoir (Energy),EE,,0.0
495,Hydro - Reservoir (Turbine),EE,,0.0
496,Hydro - Run of River (Turbine),EE,,0.0
497,Hydro - Pondage (Energy),ES,,0.0
498,Hydro - Pondage (Turbine),ES,,0.0
499,Hydro - Pump Storage Closed Loop (Energy),ES,,175221.0
500,Hydro - Pump Storage Closed Loop (Pumping),ES,,-7165.51
501,Hydro - Pump Storage Closed Loop (Turbine),ES,,7094.571999999999
502,Hydro - Pump Storage Open Loop (Energy),ES,,5961860.0
503,Hydro - Pump Storage Open Loop (Pumping),ES,,-2424.005632965166
504,Hydro - Pump Storage Open Loop (Turbine),ES,,2683.32
505,Hydro - Reservoir (Energy),ES,,11648512.50101
506,Hydro - Reservoir (Turbine),ES,,10972.199
507,Hydro - Run of River (Turbine),ES,,3589.189985519394
508,Hydro - Pondage (Energy),FI,,0.0
509,Hydro - Pondage (Turbine),FI,,0.0
510,Hydro - Pump Storage Closed Loop (Energy),FI,,0.0
511,Hydro - Pump Storage Closed Loop (Pumping),FI,,0.0
512,Hydro - Pump Storage Closed Loop (Turbine),FI,,0.0
513,Hydro - Pump Storage Open Loop (Energy),FI,,0.0
514,Hydro - Pump Storage Open Loop (Pumping),FI,,0.0
515,Hydro - Pump Storage Open Loop (Turbine),FI,,0.0
516,Hydro - Reservoir (Energy),FI,,5530000.0
517,Hydro - Reservoir (Turbine),FI,,3236.608
518,Hydro - Run of River (Turbine),FI,,0.0
519,Hydro - Pondage (Energy),FR,,13600.0
520,Hydro - Pondage (Turbine),FR,,1411.792752701844
521,Hydro - Pump Storage Closed Loop (Energy),FR,,10000.0
522,Hydro - Pump Storage Closed Loop (Pumping),FR,,-1950.0
523,Hydro - Pump Storage Closed Loop (Turbine),FR,,1950.0
524,Hydro - Pump Storage Open Loop (Energy),FR,,90000.00000000001
525,Hydro - Pump Storage Open Loop (Pumping),FR,,-1850.0
526,Hydro - Pump Storage Open Loop (Turbine),FR,,1850.0
527,Hydro - Reservoir (Energy),FR,,10000000.0
528,Hydro - Reservoir (Turbine),FR,,9847.0
529,Hydro - Run of River (Turbine),FR,,12188.20724729815
530,Hydro - Pondage (Energy),GR,,1000.0
531,Hydro - Pondage (Turbine),GR,,22.02
532,Hydro - Pump Storage Closed Loop (Energy),GR,,3500.0
533,Hydro - Pump Storage Closed Loop (Pumping),GR,,-710.0
534,Hydro - Pump Storage Closed Loop (Turbine),GR,,680.0
535,Hydro - Pump Storage Open Loop (Energy),GR,,4500.0
536,Hydro - Pump Storage Open Loop (Pumping),GR,,-735.0
537,Hydro - Pump Storage Open Loop (Turbine),GR,,699.0
538,Hydro - Reservoir (Energy),GR,,4044000.0
539,Hydro - Reservoir (Turbine),GR,,2743.7
540,Hydro - Run of River (Turbine),GR,,327.98
541,Hydro - Pondage (Energy),HR,,3991.000000000001
542,Hydro - Pondage (Turbine),HR,,320.94
543,Hydro - Pump Storage Closed Loop (Energy),HR,,0.0
544,Hydro - Pump Storage Closed Loop (Pumping),HR,,0.0
